trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",35,0,-111.66473018986203,"{0: 28, 1: 0, 2: 4, 3: 1, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,12,-22.717390079082293,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",25,0,-31.12798402435946,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,0,-28.59597151212993,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",25,0,-71.53084946298262,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-31.472631229795105,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",30,0,-96.01992081637695,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",30,0,-94.46286964665812,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,0,-52.017082728597494,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,0,7.674190575162575,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",35,0,-15.030746323816244,"{0: 30, 1: 1, 2: 3, 3: 1, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-18.271743499548336,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",25,0,-72.65482895061143,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,0,-34.812506334172966,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,0,-3.0570701608794835,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",30,0,-89.7275526778384,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",25,0,-74.54509377549341,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,3,-3.450453449939004,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",20,0,-29.889344242866624,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",30,0,-82.60103965391934,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",25,0,-60.158795980322346,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",35,0,-22.041375135843953,"{0: 32, 1: 0, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",30,0,-61.848996008726466,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,13,5.265788755762301,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",20,0,-82.25591024423456,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,0,19.406561802724706,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",25,0,1.4502270995070856,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,0,-43.79715245363579,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,0,1.2395432408008693,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",30,0,-140.81111021649633,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",35,0,9.063342290607618,"{0: 31, 1: 2, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",30,0,-91.95413714515044,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
