trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.05, 'e': 0.1046739547232552}",20,0,7.011185414412737,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.05, 'e': 0.09944025698709244}",30,0,10.42667975782991,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
65,False,"{'a': 0.05, 'e': 0.09446824413773781}",30,10,-10.905899102664229,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.05, 'e': 0.08974483193085092}",35,0,-14.227589626744056,"{0: 32, 1: 0, 2: 2, 3: 0, 4: 1}",0
67,False,"{'a': 0.05, 'e': 0.08525759033430838}",35,4,9.244610147168535,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 1}",1
68,False,"{'a': 0.05, 'e': 0.08099471081759296}",20,9,21.550158588819414,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.05, 'e': 0.07694497527671332}",35,20,-12.560547625995468,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.05, 'e': 0.07309772651287766}",20,12,15.845549950238984,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.05, 'e': 0.06944284018723378}",30,9,2.2202463035563924,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
72,False,"{'a': 0.05, 'e': 0.06597069817787209}",35,25,15.730666119558606,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.05, 'e': 0.06267216326897848}",30,17,22.994822866144823,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.05, 'e': 0.05953855510552956}",25,11,23.636035765489236,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.05, 'e': 0.05656162735025308}",25,15,-7.045294043467662,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.05, 'e': 0.053733545982740424}",25,0,36.721151847523466,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.05, 'e': 0.051046868683603405}",25,0,26.779031068827813,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.05, 'e': 0.048494525249423236}",20,0,30.901681817692097,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.05, 'e': 0.04606979898695207}",25,15,17.061484030405317,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.05, 'e': 0.043766309037604464}",20,15,11.133870733666424,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.05, 'e': 0.04157799358572424}",20,3,32.31464526845512,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.05, 'e': 0.03949909390643803}",20,13,12.183297724037145,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.05, 'e': 0.03752413921111613}",30,1,31.023991853253648,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.05, 'e': 0.03564793225056032}",25,0,39.851605975079806,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.05, 'e': 0.03386553563803231}",20,16,8.336094998763306,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.05, 'e': 0.032172258856130696}",20,15,8.518969888521262,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.05, 'e': 0.03056364591332416}",20,5,13.687938889182519,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.05, 'e': 0.02903546361765795}",25,11,-22.672300641470635,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.05, 'e': 0.02758369043677505}",25,0,36.35355605695966,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.05, 'e': 0.0262045059149363}",25,0,36.491665570982434,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.05, 'e': 0.024894280619189486}",30,11,32.27798962727439,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.05, 'e': 0.02364956658823001}",25,6,32.3190920993326,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.05, 'e': 0.02246708825881851}",25,13,-22.190270236164636,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.05, 'e': 0.021343733845877587}",30,0,29.47981998057413,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
95,False,"{'a': 0.05, 'e': 0.020276547153583707}",25,0,25.078134409925326,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.05, 'e': 0.01926271979590452}",20,7,21.814025229359576,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.05, 'e': 0.018299583806109295}",25,12,23.096762053351785,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.05, 'e': 0.01738460461580383}",25,3,38.08987200932333,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.05, 'e': 0.01651537438501364}",20,0,28.56655652619258,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.05, 'e': 0.015689605665762957}",30,11,31.484130843682138,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.05, 'e': 0.01490512538247481}",20,0,-20.43916576173862,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
102,False,"{'a': 0.05, 'e': 0.01415986911335107}",35,20,24.716342013027568,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.05, 'e': 0.013451875657683517}",25,3,34.873052875914425,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.05, 'e': 0.01277928187479934}",25,11,28.727108186921424,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.05, 'e': 0.012140317781059373}",20,0,1.333073618113185,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
106,False,"{'a': 0.05, 'e': 0.011533301892006404}",35,20,28.444994146420534,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.05, 'e': 0.010956636797406084}",20,13,16.287457506151632,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.05, 'e': 0.01040880495753578}",25,20,9.425160930207978,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.05, 'e': 0.009888364709658991}",20,0,30.45050884835813,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.05, 'e': 0.009393946474176042}",20,6,19.29200490766665,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.05, 'e': 0.00892424915046724}",25,10,21.02660668867346,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.05, 'e': 0.008478036692943877}",20,0,36.50637359477765,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.05, 'e': 0.008054134858296683}",25,0,33.69225080936108,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.05, 'e': 0.007651428115381849}",20,0,29.678920354840415,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.05, 'e': 0.007268856709612756}",25,18,12.336728104097416,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.05, 'e': 0.006905413874132118}",20,11,6.610749720872185,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.05, 'e': 0.006560143180425512}",25,13,23.199299223467623,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.05, 'e': 0.006232136021404237}",25,19,11.498614246508724,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.05, 'e': 0.005920529220334025}",25,18,13.158207887336514,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.05, 'e': 0.005624502759317324}",30,14,33.02265710513186,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.05, 'e': 0.005343277621351458}",30,0,53.06859280959013,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.05, 'e': 0.005076113740283885}",30,13,32.72749457145068,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.05, 'e': 0.004822308053269691}",25,16,18.43686242620424,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.05, 'e': 0.0045811926506062065}",25,10,27.774378288127906,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.05, 'e': 0.004352133018075896}",20,12,10.06682263660569,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.05, 'e': 0.004134526367172101}",20,8,23.079059239266357,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.05, 'e': 0.003927800048813496}",20,9,20.58232596700542,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.05, 'e': 0.0037314100463728215}",20,0,23.756799429545826,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.05, 'e': 0.0035448395440541803}",20,15,9.107704513274228,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.05, 'e': 0.003367597566851471}",20,0,23.51580477531568,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.05, 'e': 0.0031992176885088973}",25,15,15.843275025170911,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.05, 'e': 0.0030392568040834523}",25,12,23.17017655854745,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.05, 'e': 0.0028872939638792798}",25,13,22.134392242136155,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.05, 'e': 0.0027429292656853156}",20,0,29.79222957882481,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.05, 'e': 0.0026057828024010497}",20,0,31.172321470277378,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.05, 'e': 0.0024754936622809975}",20,12,13.414888465460638,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.05, 'e': 0.0023517189791669476}",25,13,24.007784991808286,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.05, 'e': 0.0022341330302086}",20,0,30.98291259050101,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.05, 'e': 0.0021224263786981702}",25,10,23.491017246555614,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.05, 'e': 0.0020163050597632615}",20,0,31.598517928845485,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.05, 'e': 0.0019154898067750984}",25,10,21.048558832541822,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.05, 'e': 0.0018197153164363435}",25,13,20.81158193663916,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.05, 'e': 0.0017287295506145262}",30,0,43.14265668240891,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.05, 'e': 0.0016422930730837998}",25,0,30.36306481269643,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.05, 'e': 0.00156017841942961}",25,0,38.517841418550724,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.05, 'e': 0.0014821694984581294}",25,18,11.935266714348192,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.05, 'e': 0.0014080610235352228}",20,14,11.923373411811738,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.05, 'e': 0.0013376579723584617}",30,19,23.073143651308797,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.05, 'e': 0.0012707750737405387}",30,0,47.086530435103064,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.05, 'e': 0.0012072363200535117}",30,9,34.095849949878016,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.05, 'e': 0.001146874504050836}",25,0,33.43799289224483,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.05, 'e': 0.0010895307788482942}",25,12,27.63270213281034,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.05, 'e': 0.0010350542399058795}",20,14,10.58832447335103,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.05, 'e': 0.0009833015279105855}",20,0,30.743300909760997,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,4,39.510977783860916,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,16,6.940844015064841,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,13,22.252879987742812,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,16.033557290926797,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,0,39.297533004027215,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,17,19.034464321396825,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,8,45.80074954912285,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,9,24.524781936321016,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,8,19.989527427920105,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,10.23257478833072,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
